This file was created using the 201705 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19900702    ,0.87    ,0.15   ,-0.36    ,0.03
19900703    ,0.20    ,0.22    ,0.03    ,0.03
19900704    ,0.93   ,-0.22   ,-0.27    ,0.03
19900705   ,-0.61    ,0.25    ,0.11    ,0.03
19900706    ,0.02   ,-0.07    ,0.31    ,0.03
19900709    ,0.24    ,0.42    ,0.13    ,0.03
19900710    ,0.51    ,0.13   ,-0.31    ,0.03
19900711   ,-0.01   ,-0.55   ,-0.12    ,0.03
19900712    ,0.36   ,-0.01   ,-0.07    ,0.03
19900713    ,0.91   ,-0.68   ,-0.28    ,0.03
19900716    ,0.59   ,-0.36    ,0.11    ,0.03
19900717    ,0.20    ,0.31    ,0.08    ,0.03
19900718    ,0.13    ,0.03   ,-0.23    ,0.03
19900719   ,-0.45    ,0.36   ,-0.23    ,0.03
19900720   ,-0.82    ,0.76    ,0.44    ,0.03
19900723   ,-0.62    ,0.53    ,0.24    ,0.03
19900724   ,-0.73    ,0.26   ,-0.03    ,0.03
19900725   ,-0.05    ,0.13    ,0.35    ,0.03
19900726   ,-0.87    ,0.67    ,0.29    ,0.03
19900727   ,-0.72    ,0.82    ,0.56    ,0.03
19900730   ,-0.08    ,0.06    ,0.09    ,0.03
19900731    ,1.97   ,-0.72   ,-0.39    ,0.03
19900801   ,-0.64    ,0.29   ,-0.02    ,0.03
19900802   ,-2.06    ,0.79   ,-0.07    ,0.03
19900803   ,-1.64    ,0.84   ,-0.16    ,0.03
19900806   ,-3.20    ,0.92   ,-0.46    ,0.03
19900807   ,-1.21   ,-0.46    ,0.32    ,0.03
19900808    ,0.49   ,-0.95    ,0.09    ,0.03
19900809   ,-0.45    ,0.49   ,-0.04    ,0.03
19900810   ,-0.46    ,0.28    ,0.24    ,0.03
19900813   ,-2.00    ,0.89   ,-0.03    ,0.03
19900814    ,1.16   ,-1.02   ,-0.01    ,0.03
19900815    ,3.00   ,-1.85    ,0.17    ,0.03
19900816   ,-1.10    ,1.07    ,0.01    ,0.03
19900817   ,-1.23    ,0.54   ,-0.09    ,0.03
19900820   ,-0.96   ,-0.46   ,-0.15    ,0.03
19900821   ,-1.26    ,0.10   ,-0.20    ,0.03
19900822   ,-1.63    ,0.38    ,0.54    ,0.03
19900823   ,-3.87    ,2.04    ,0.60    ,0.03
19900824    ,0.31   ,-2.14    ,0.57    ,0.03
19900827    ,3.43   ,-2.21    ,0.18    ,0.03
19900828    ,1.85   ,-0.31   ,-0.50    ,0.03
19900829   ,-0.94    ,0.87   ,-0.01    ,0.03
19900830    ,0.82   ,-1.12    ,0.26    ,0.03
19900831    ,0.21   ,-0.15   ,-0.90    ,0.03
19900903   ,-1.10    ,0.50   ,-0.05    ,0.03
19900904   ,-1.44    ,0.60    ,0.04    ,0.03
19900905   ,-0.25    ,0.46    ,0.14    ,0.03
19900906   ,-0.46   ,-0.02   ,-0.10    ,0.03
19900907   ,-0.13   ,-0.97    ,0.14    ,0.03
19900910    ,1.89   ,-1.82   ,-0.36    ,0.03
19900911   ,-1.16    ,0.90    ,0.12    ,0.03
19900912    ,1.81   ,-1.05   ,-0.27    ,0.03
19900913    ,0.26    ,0.40   ,-0.15    ,0.03
19900914   ,-0.47    ,0.41   ,-0.24    ,0.03
19900917   ,-1.16    ,0.73    ,0.11    ,0.03
19900918   ,-1.80    ,0.66    ,0.48    ,0.03
19900919   ,-1.30   ,-0.19   ,-0.05    ,0.03
19900920   ,-1.66    ,0.09    ,0.02    ,0.03
19900921   ,-0.59   ,-1.15    ,0.31    ,0.03
19900924    ,0.14    ,0.11   ,-0.01    ,0.03
19900925   ,-2.59    ,1.34    ,0.27    ,0.03
19900926   ,-2.20    ,1.31    ,0.38    ,0.03
19900927   ,-1.39    ,0.44    ,0.47    ,0.03
19900928   ,-1.88    ,0.97    ,0.00    ,0.03
19901001    ,0.08   ,-0.35    ,0.83    ,0.03
19901002    ,4.94   ,-5.06    ,0.49    ,0.03
19901003    ,0.80    ,0.37   ,-0.33    ,0.03
19901004    ,0.33    ,0.47    ,0.06    ,0.03
19901005    ,1.88   ,-0.95   ,-0.47    ,0.03
19901008    ,3.45   ,-0.93   ,-0.60    ,0.03
19901009   ,-0.36    ,0.57   ,-0.50    ,0.03
19901010   ,-0.47   ,-0.07   ,-0.21    ,0.03
19901011   ,-1.71    ,0.99    ,0.29    ,0.03
19901012    ,0.39   ,-0.53    ,0.44    ,0.03
19901015    ,1.22   ,-1.69   ,-0.73    ,0.03
19901016    ,1.30   ,-0.31   ,-0.14    ,0.03
19901017    ,1.23   ,-1.07   ,-0.67    ,0.03
19901018    ,1.40   ,-0.61   ,-1.16    ,0.03
19901019    ,0.96   ,-0.35   ,-0.53    ,0.03
19901022    ,1.09   ,-0.77   ,-0.81    ,0.03
19901023    ,0.05    ,0.23    ,0.26    ,0.03
19901024   ,-0.56    ,1.06    ,0.30    ,0.03
19901025    ,1.34   ,-0.55   ,-0.97    ,0.03
19901026   ,-1.48    ,0.79   ,-0.05    ,0.03
19901029    ,0.02   ,-0.24   ,-0.16    ,0.03
19901030   ,-0.98    ,0.57   ,-0.18    ,0.03
19901031   ,-0.60    ,0.26   ,-0.02    ,0.03
19901101   ,-2.20    ,1.20    ,0.62    ,0.03
19901102    ,0.66   ,-0.94   ,-0.32    ,0.03
19901105    ,1.64   ,-0.44   ,-0.46    ,0.03
19901106   ,-0.83    ,0.45    ,0.12    ,0.03
19901107   ,-1.49    ,0.92    ,0.36    ,0.03
19901108   ,-2.17    ,0.79    ,0.75    ,0.03
19901109   ,-0.38   ,-0.44    ,0.29    ,0.03
19901112    ,0.68   ,-0.51   ,-0.04    ,0.03
19901113    ,1.79   ,-1.20   ,-0.35    ,0.03
19901114   ,-0.24    ,0.35   ,-0.48    ,0.03
19901115   ,-0.69    ,0.21    ,0.57    ,0.03
19901116   ,-0.59    ,0.69    ,0.35    ,0.03
19901119    ,1.24   ,-1.02   ,-0.26    ,0.03
19901120   ,-0.63    ,0.35    ,0.32    ,0.03
19901121   ,-0.56    ,0.15    ,0.27    ,0.03
19901122    ,1.39   ,-1.19   ,-0.48    ,0.03
19901123    ,0.06   ,-0.17    ,0.11    ,0.03
19901126   ,-0.63    ,0.24   ,-0.31    ,0.03
19901127   ,-0.04    ,0.14    ,0.14    ,0.03
19901128   ,-2.04    ,0.93    ,0.18    ,0.03
19901129   ,-2.47    ,0.63    ,0.33    ,0.03
19901130   ,-0.68   ,-0.20    ,0.31    ,0.03
19901203    ,0.13   ,-0.51    ,0.17    ,0.03
19901204   ,-1.24    ,1.06    ,0.28    ,0.03
19901205    ,0.51   ,-1.09    ,0.16    ,0.03
19901206    ,2.54   ,-1.50   ,-0.28    ,0.03
19901207    ,3.24   ,-1.46   ,-0.68    ,0.03
19901210    ,0.17    ,0.28   ,-0.50    ,0.03
19901211   ,-0.12   ,-0.16   ,-0.36    ,0.03
19901212    ,0.40    ,0.00   ,-0.40    ,0.03
19901213    ,0.94   ,-0.95   ,-0.19    ,0.03
19901214   ,-0.90    ,0.57   ,-0.20    ,0.03
19901217   ,-1.44    ,0.67   ,-0.15    ,0.03
19901218    ,0.31   ,-0.70    ,0.12    ,0.03
19901219    ,0.53   ,-0.64   ,-0.33    ,0.03
19901220   ,-2.28    ,0.52    ,0.06    ,0.03
19901221   ,-1.60    ,0.36    ,0.24    ,0.03
19901224   ,-0.63    ,0.04    ,0.03    ,0.03
19901225   ,-1.12    ,0.88    ,0.26    ,0.03
19901226    ,0.19   ,-0.23    ,0.03    ,0.03
19901227    ,0.22   ,-0.17   ,-0.26    ,0.03
19901228    ,0.98    ,0.25    ,0.08    ,0.03
19901231   ,-0.23    ,0.38    ,0.08    ,0.03
19910101    ,0.22   ,-0.15   ,-0.06    ,0.02
19910102    ,0.10    ,0.15    ,0.16    ,0.02
19910103    ,0.49   ,-0.57   ,-0.29    ,0.02
19910104   ,-0.73   ,-0.03   ,-0.22    ,0.02
19910107   ,-2.28    ,0.52    ,0.18    ,0.02
19910108   ,-1.77    ,0.60    ,0.47    ,0.02
19910109    ,1.36   ,-1.26    ,0.27    ,0.02
19910110   ,-0.35   ,-0.32    ,0.00    ,0.02
19910111    ,0.43   ,-0.59    ,0.03    ,0.02
19910114   ,-1.20   ,-0.04   ,-0.24    ,0.02
19910115   ,-0.55   ,-0.02    ,0.02    ,0.02
19910116   ,-1.93    ,0.99    ,0.40    ,0.02
19910117    ,5.66   ,-3.00    ,0.03    ,0.02
19910118    ,0.94   ,-0.32   ,-0.48    ,0.02
19910121   ,-0.60    ,0.54    ,0.02    ,0.02
19910122   ,-0.26   ,-0.48   ,-0.26    ,0.02
19910123   ,-0.77    ,0.33    ,0.17    ,0.02
19910124    ,0.94   ,-1.12   ,-0.21    ,0.02
19910125    ,0.75   ,-0.64   ,-0.33    ,0.02
19910128    ,0.21    ,0.04    ,0.27    ,0.02
19910129    ,0.14   ,-0.07    ,0.08    ,0.02
19910130    ,0.27    ,0.09    ,0.41    ,0.02
19910131    ,0.58    ,0.21    ,0.12    ,0.02
19910201   ,-0.10    ,0.47    ,0.15    ,0.02
19910204    ,0.84   ,-0.28    ,0.11    ,0.02
19910205    ,2.20   ,-0.63    ,0.14    ,0.02
19910206    ,1.49    ,0.03   ,-0.57    ,0.02
19910207    ,0.95   ,-0.21   ,-0.02    ,0.02
19910208    ,0.63   ,-0.10   ,-0.07    ,0.02
19910211    ,0.88    ,0.17    ,0.33    ,0.02
19910212    ,1.25   ,-0.31   ,-0.65    ,0.02
19910213    ,0.31    ,0.47   ,-0.06    ,0.02
19910214    ,0.32    ,0.51    ,0.12    ,0.02
19910215   ,-0.17    ,0.18    ,0.56    ,0.02
19910218    ,2.09   ,-0.66   ,-0.02    ,0.02
19910219   ,-0.48    ,0.69   ,-0.07    ,0.02
19910220   ,-0.81    ,0.58   ,-0.27    ,0.02
19910221    ,0.10    ,0.36    ,0.21    ,0.02
19910222   ,-0.69    ,0.43    ,0.23    ,0.02
19910225    ,0.76   ,-0.77    ,0.36    ,0.02
19910226   ,-0.51    ,0.83   ,-0.18    ,0.02
19910227   ,-0.07    ,0.21    ,0.34    ,0.02
19910228    ,0.61    ,0.17   ,-0.12    ,0.02
19910301   ,-1.74    ,1.08    ,0.32    ,0.02
19910304   ,-0.36    ,0.58    ,0.40    ,0.02
19910305    ,0.55   ,-0.04    ,0.06    ,0.02
19910306    ,1.18   ,-0.24    ,0.48    ,0.02
19910307   ,-0.15    ,0.13    ,0.00    ,0.02
19910308    ,0.07   ,-0.23   ,-0.14    ,0.02
19910311   ,-0.90    ,0.93    ,0.22    ,0.02
19910312    ,1.02   ,-0.34   ,-0.65    ,0.02
19910313   ,-0.86    ,0.73   ,-0.15    ,0.02
19910314    ,0.95   ,-0.46   ,-0.06    ,0.02
19910315   ,-0.05   ,-0.34   ,-0.08    ,0.02
19910318   ,-0.66   ,-0.22   ,-0.39    ,0.02
19910319   ,-1.03    ,0.06   ,-0.21    ,0.02
19910320   ,-1.47    ,0.84    ,0.03    ,0.02
19910321    ,0.88   ,-0.25    ,0.07    ,0.02
19910322   ,-0.05   ,-0.20   ,-0.40    ,0.02
19910325   ,-1.50   ,-0.15    ,0.05    ,0.02
19910326   ,-0.28    ,0.10   ,-0.16    ,0.02
19910327   ,-0.57    ,0.06    ,0.18    ,0.02
19910328   ,-0.36    ,0.40    ,0.25    ,0.02
19910329    ,0.61   ,-0.06    ,0.00    ,0.02
19910401    ,0.17    ,0.56    ,0.34    ,0.02
19910402    ,1.68   ,-0.86   ,-0.35    ,0.02
19910403    ,1.71   ,-0.77   ,-0.24    ,0.02
19910404    ,0.82    ,0.01    ,0.04    ,0.02
19910405   ,-0.26    ,0.02   ,-0.17    ,0.02
19910408   ,-0.67    ,0.38   ,-0.02    ,0.02
19910409    ,0.67    ,0.45   ,-0.02    ,0.02
19910410   ,-1.04    ,0.41   ,-0.05    ,0.02
19910411    ,0.46   ,-0.06   ,-0.03    ,0.02
19910412    ,0.23   ,-0.31    ,0.11    ,0.02
19910415    ,1.35   ,-0.50   ,-0.29    ,0.02
19910416   ,-0.05    ,0.07   ,-0.09    ,0.02
19910417   ,-0.17    ,0.13    ,0.47    ,0.02
19910418   ,-1.16    ,0.31    ,0.28    ,0.02
19910419   ,-2.06    ,0.34    ,0.08    ,0.02
19910422   ,-2.00    ,0.38   ,-0.10    ,0.02
19910423    ,1.30   ,-0.74   ,-0.13    ,0.02
19910424   ,-0.53    ,0.21    ,0.13    ,0.02
19910425   ,-0.63    ,0.30    ,0.22    ,0.02
19910426   ,-0.12   ,-0.18   ,-0.18    ,0.02
19910429    ,0.22   ,-0.27   ,-0.10    ,0.02
19910430    ,1.19   ,-0.12   ,-0.16    ,0.02
19910501    ,0.78   ,-0.57   ,-0.05    ,0.02
19910502    ,0.03    ,0.09    ,0.14    ,0.02
19910503   ,-0.71   ,-0.14   ,-0.12    ,0.02
19910506    ,0.22    ,0.07    ,0.13    ,0.02
19910507    ,0.54    ,0.13    ,0.15    ,0.02
19910508   ,-0.78    ,0.30   ,-0.03    ,0.02
19910509   ,-0.31    ,0.06    ,0.04    ,0.02
19910510    ,0.45   ,-0.02    ,0.01    ,0.02
19910513   ,-0.66    ,0.69   ,-0.07    ,0.02
19910514    ,0.36    ,0.01   ,-0.35    ,0.02
19910515   ,-0.17   ,-0.04   ,-0.06    ,0.02
19910516   ,-0.27   ,-0.12    ,0.08    ,0.02
19910517   ,-1.03   ,-0.22   ,-0.03    ,0.02
19910520   ,-0.13   ,-0.04    ,0.03    ,0.02
19910521    ,0.70   ,-0.31    ,0.03    ,0.02
19910522   ,-0.51    ,0.11   ,-0.17    ,0.02
19910523    ,0.63   ,-0.44   ,-0.15    ,0.02
19910524   ,-0.30    ,0.15    ,0.14    ,0.02
19910527   ,-0.15   ,-0.02    ,0.04    ,0.02
19910528    ,0.18    ,0.03    ,0.09    ,0.02
19910529   ,-0.12   ,-0.22    ,0.14    ,0.02
19910530    ,0.35   ,-0.52   ,-0.13    ,0.02
19910531    ,0.09   ,-0.58    ,0.18    ,0.02
19910603   ,-0.16    ,0.15    ,0.25    ,0.02
19910604   ,-0.31    ,0.38    ,0.22    ,0.02
19910605   ,-0.58    ,0.09    ,0.04    ,0.02
19910606   ,-0.45   ,-0.02    ,0.09    ,0.02
19910607   ,-0.98    ,0.31   ,-0.09    ,0.02
19910610   ,-1.36    ,1.03    ,0.50    ,0.02
19910611    ,0.50   ,-0.72    ,0.02    ,0.02
19910612   ,-0.94    ,0.04   ,-0.03    ,0.02
19910613    ,0.33   ,-0.43   ,-0.02    ,0.02
19910614    ,0.75   ,-0.17   ,-0.08    ,0.02
19910617   ,-0.50    ,0.42    ,0.29    ,0.02
19910618   ,-0.82    ,0.03    ,0.08    ,0.02
19910619   ,-0.86    ,0.83    ,0.40    ,0.02
19910620    ,0.49   ,-0.51   ,-0.24    ,0.02
19910621    ,0.27   ,-0.38   ,-0.26    ,0.02
19910624   ,-0.80    ,0.84    ,0.25    ,0.02
19910625   ,-0.11   ,-0.80   ,-0.08    ,0.02
19910626    ,0.08    ,0.40   ,-0.11    ,0.02
19910627   ,-0.47   ,-0.01    ,0.10    ,0.02
19910628   ,-0.96    ,0.28    ,0.08    ,0.02
19910701    ,1.24   ,-1.15   ,-0.23    ,0.02
19910702   ,-0.42    ,0.06    ,0.07    ,0.02
19910703   ,-1.81    ,0.87    ,0.12    ,0.02
19910704   ,-0.57   ,-0.10    ,0.27    ,0.02
19910705    ,0.30   ,-0.13    ,0.21    ,0.02
19910708   ,-1.70    ,1.11    ,0.29    ,0.02
19910709    ,0.70   ,-1.53    ,0.33    ,0.02
19910710    ,1.68   ,-0.92   ,-0.38    ,0.02
19910711   ,-0.36    ,0.11   ,-0.02    ,0.02
19910712    ,1.79    ,0.14   ,-0.22    ,0.02
19910715    ,0.98   ,-0.35   ,-0.24    ,0.02
19910716   ,-0.44    ,0.29   ,-0.03    ,0.02
19910717   ,-0.31    ,0.37    ,0.10    ,0.02
19910718   ,-0.01    ,0.16    ,0.21    ,0.02
19910719    ,0.70    ,0.00    ,0.19    ,0.02
19910722   ,-0.76    ,0.14    ,0.18    ,0.02
19910723    ,0.37   ,-0.46    ,0.10    ,0.02
19910724    ,0.92   ,-0.21   ,-0.17    ,0.02
19910725   ,-1.01    ,0.11    ,0.10    ,0.02
19910726    ,1.12   ,-0.35    ,0.00    ,0.02
19910729   ,-0.58    ,0.09    ,0.06    ,0.02
19910730    ,0.64   ,-0.48   ,-0.15    ,0.02
19910731    ,0.59   ,-0.08   ,-0.27    ,0.02
19910801   ,-0.40   ,-0.03   ,-0.06    ,0.02
19910802    ,0.75    ,0.06    ,0.02    ,0.02
19910805   ,-0.07    ,0.51    ,0.01    ,0.02
19910806   ,-0.30    ,0.33   ,-0.06    ,0.02
19910807    ,0.44   ,-0.44   ,-0.14    ,0.02
19910808   ,-0.69    ,0.13   ,-0.04    ,0.02
